LAMMPS data file via write_data, version 2 Aug 2023, timestep = 0, units = metal

880 atoms
2 atom types

0 46.15297974 xlo xhi
0 48.44336421158499 ylo yhi
0 10 zlo zhi

Masses

1 10.811
2 14.0067

Atoms # charge

1 1 0.42 0 0 0 0 0 0
2 2 -0.42 0.6989 1.21053028768301 0 0 0 0
3 1 0.42 2.0967 1.21053028768301 0 0 0 0
4 2 -0.42 2.7956 0 0 0 0 0
5 1 0.42 4.1934 0 0 0 0 0
6 2 -0.42 4.8923 1.21053028768301 0 0 0 0
7 1 0.42 6.2901 1.21053028768301 0 0 0 0
8 2 -0.42 6.989 0 0 0 0 0
9 1 0.42 8.3868 0 0 0 0 0
10 2 -0.42 9.0857 1.21053028768301 0 0 0 0
11 1 0.42 10.4835 1.21053028768301 0 0 0 0
12 2 -0.42 11.1824 0 0 0 0 0
13 1 0.42 12.5802 0 0 0 0 0
14 2 -0.42 13.2791 1.21053028768301 0 0 0 0
15 1 0.42 14.6769 1.21053028768301 0 0 0 0
16 2 -0.42 15.3758 0 0 0 0 0
17 1 0.42 16.7736 0 0 0 0 0
18 2 -0.42 17.4725 1.21053028768301 0 0 0 0
19 1 0.42 18.8703 1.21053028768301 0 0 0 0
20 2 -0.42 19.5692 0 0 0 0 0
21 1 0.42 20.967 0 0 0 0 0
22 2 -0.42 21.6659 1.21053028768301 0 0 0 0
23 1 0.42 23.063699999999997 1.21053028768301 0 0 0 0
45 1 0.42 0 2.42106057536602 0 0 0 0
46 2 -0.42 0.6989 3.63159086304903 0 0 0 0
47 1 0.42 2.0967 3.63159086304903 0 0 0 0
48 2 -0.42 2.7956 2.42106057536602 0 0 0 0
49 1 0.42 4.1934 2.42106057536602 0 0 0 0
50 2 -0.42 4.8923 3.63159086304903 0 0 0 0
51 1 0.42 6.2901 3.63159086304903 0 0 0 0
52 2 -0.42 6.989 2.42106057536602 0 0 0 0
53 1 0.42 8.3868 2.42106057536602 0 0 0 0
54 2 -0.42 9.0857 3.63159086304903 0 0 0 0
55 1 0.42 10.4835 3.63159086304903 0 0 0 0
56 2 -0.42 11.1824 2.42106057536602 0 0 0 0
57 1 0.42 12.5802 2.42106057536602 0 0 0 0
58 2 -0.42 13.2791 3.63159086304903 0 0 0 0
59 1 0.42 14.6769 3.63159086304903 0 0 0 0
60 2 -0.42 15.3758 2.42106057536602 0 0 0 0
61 1 0.42 16.7736 2.42106057536602 0 0 0 0
62 2 -0.42 17.4725 3.63159086304903 0 0 0 0
63 1 0.42 18.8703 3.63159086304903 0 0 0 0
64 2 -0.42 19.5692 2.42106057536602 0 0 0 0
65 1 0.42 20.967 2.42106057536602 0 0 0 0
66 2 -0.42 21.6659 3.63159086304903 0 0 0 0
67 1 0.42 23.063699999999997 3.63159086304903 0 0 0 0
89 1 0.42 0 4.84212115073204 0 0 0 0
90 2 -0.42 0.6989 6.05265143841505 0 0 0 0
91 1 0.42 2.0967 6.05265143841505 0 0 0 0
92 2 -0.42 2.7956 4.84212115073204 0 0 0 0
