LAMMPS data file via write_data, version 2 Aug 2023, timestep = 100, units = metal

512 atoms
8 atom types

0 21.724 xlo xhi
0 21.724 ylo yhi
0 21.724 zlo zhi

Masses

1 28.06
2 28.06
3 28.06
4 28.06
5 28.06
6 28.06
7 28.06
8 28.06

Atoms # atomic

277 3 19.09125053890908 10.473757822633706 3.020724772500361 0 0 0
2 2 0.023161599724105482 2.7518609763121806 2.7763651227120687 0 0 0
3 3 2.7638440522163092 0.3651038588855215 3.03220844105061 0 0 0
37 1 10.912952210826132 5.191898769035063 0.23196031927317923 0 0 0
5 5 1.3006835503268976 1.4985411378989921 1.446057559800796 0 0 0
6 8 4.382864048661407 4.217286160917822 1.2709835679151962 0 0 0
48 8 20.44026126794126 9.36112250409244 1.2605536203988248 0 0 0
8 2 5.521217155801357 2.581727658386597 2.6212526705783556 0 0 0
44 2 15.830592775785945 8.143954882667895 3.0245920447768277 0 0 0
275 1 16.366801519068815 10.721525575819141 0.24145952909379353 0 0 0
11 5 6.807598375645614 1.118581319270186 1.115875014075114 0 0 0
12 8 9.373025042582494 3.8537742054763813 1.5177184702881301 0 0 0
13 1 10.87161354826906 0.4549710205059693 0.548032520504959 0 0 0
42 8 14.479205197488579 9.31305275220662 1.2228381542818954 0 0 0
9 3 7.948525961305551 0.1647083117589112 2.7003398004264163 0 0 0
16 4 14.217297650372409 2.2484230565252297 0.1139703960701062 0 0 0
17 5 12.541712841963033 1.7048628820345815 2.0143691124011265 0 0 0
18 8 14.954138642805724 4.036281469240278 1.2325835697685759 0 0 0
47 5 17.32192319594269 6.739183097570217 1.708335291062525 0 0 0
20 2 16.225183545737607 2.852422807739977 2.765714571103955 0 0 0
46 4 18.798323295219856 8.090636541220272 0.10224923940750659 0 0 0
22 4 18.77994971407131 2.4789724406646894 0.26307656986630107 0 0 0
23 5 17.6471753640271 0.9189927813766489 1.4949534482626416 0 0 0
24 8 20.35748024237469 4.082838982089112 1.5345843619796098 0 0 0
271 3 13.540615205693744 10.647789873317665 2.892361332307851 0 0 0
26 2 0.052495746136829044 8.004448345298217 2.573904167585618 0 0 0
27 3 2.746874473622799 5.38499812178848 2.5495393917350073 0 0 0
45 3 18.778489930415656 5.261755097233783 2.83924062274061 0 0 0
29 5 1.4330392889158927 6.75710601558535 1.1769991106387931 0 0 0
30 8 3.719032760168411 9.463536412284107 0.9945164701137603 0 0 0
41 5 12.226967437006401 6.668080911297548 1.4198735765556714 0 0 0
32 2 5.3147930510640125 8.51924544228242 2.629350702503997 0 0 0
33 3 8.357718719958832 5.641937539500207 2.832086128181291 0 0 0
34 4 8.242306979721887 7.992529283903982 0.0010770503914887914 0 0 0
35 5 6.676984811555923 6.848740024980674 1.4257813774489594 0 0 0
